"","peak","C","O","H","N","S","P","MolForm"
"389",286.9844074,14,3,8,0,2,0,NA
"390",287.023153,11,7,12,0,1,0,NA
"391",287.0411377,11,9,12,0,0,0,NA
"392",287.0562163,15,6,12,0,0,0,NA
"393",287.0774383,12,8,16,0,0,0,NA
"394",287.0888793,7,7,19,3,0,1,NA
"395",287.0926889,16,5,16,0,0,0,NA
"396",287.1137043,13,7,20,0,0,0,NA
"397",287.1289957,17,4,20,0,0,0,NA
"398",287.150096,14,6,24,0,0,0,NA
"399",287.1864749,15,5,28,0,0,0,NA
"400",287.2228738,16,4,32,0,0,0,NA
"401",288.1565224,12,5,23,3,0,0,NA
"402",289.0354664,14,7,10,0,0,0,NA
"403",289.0387238,11,7,14,0,1,0,NA
"404",289.0719951,15,6,14,0,0,0,NA
"405",289.0751848,12,6,18,0,1,0,NA
"406",289.0929885,12,8,18,0,0,0,NA
"407",289.1082369,16,5,18,0,0,0,NA
"408",289.1115272,13,5,22,0,1,0,NA
"409",289.1293338,13,7,22,0,0,0,NA
"410",289.144647,17,4,22,0,0,0,NA
"411",290.0671577,14,6,13,1,0,0,NA
"412",291.015358,14,3,12,0,2,0,NA
"413",291.0180823,10,8,12,0,1,0,NA
"414",291.05117,14,7,12,0,0,0,NA
"415",291.0543221,11,7,16,0,1,0,NA
"416",291.0723432,11,9,16,0,0,0,NA
"417",291.0876615,15,6,16,0,0,0,NA
"418",291.0907871,12,6,20,0,1,0,NA
"419",291.1086569,12,8,20,0,0,0,NA
"420",291.1239273,16,5,20,0,0,0,NA
"421",291.1602793,17,4,24,0,0,0,NA
"422",292.082873,14,6,15,1,0,0,NA
"423",293.0125515,13,6,10,0,1,0,NA
"424",293.0304222,13,8,10,0,0,0,NA
"425",293.0336162,10,8,14,0,1,0,NA
"426",293.0491952,14,5,14,0,1,0,NA
"427",293.0668189,14,7,14,0,0,0,NA
"428",293.0700214,11,7,18,0,1,0,NA
"429",293.0879101,11,9,18,0,0,0,NA
"430",293.103134,15,6,18,0,0,0,NA
"431",293.1063878,12,6,22,0,1,0,NA
"432",293.1394878,16,5,22,0,0,0,NA
"433",293.171623,12,6,26,2,0,0,NA
"434",293.1758252,17,4,26,0,0,0,NA
"435",294.1708528,16,4,25,1,0,0,NA
"436",295.0098015,12,9,8,0,0,0,NA
"437",295.0283383,13,6,12,0,1,0,NA
"438",295.0461931,13,8,12,0,0,0,NA
"439",295.0491989,10,8,16,0,1,0,NA
"440",295.0671291,10,10,16,0,0,0,NA
"441",295.0823728,14,7,16,0,0,0,NA
"442",295.0856896,11,7,20,0,1,0,NA
"443",295.1036666,11,9,20,0,0,0,NA
"444",295.1187395,15,6,20,0,0,0,NA
"445",295.1220913,12,6,24,0,1,0,NA
"446",295.1551543,16,5,24,0,0,0,NA
"447",295.1915222,17,4,28,0,0,0,NA
"448",297.0076183,12,7,10,0,1,0,NA
"449",297.025462,12,9,10,0,0,0,NA
"450",297.0472019,10,6,18,0,2,0,NA
"451",297.0617609,13,8,14,0,0,0,NA
"452",297.0827705,10,10,18,0,0,0,NA
"453",297.0980843,14,7,18,0,0,0,NA
"454",297.1013526,11,7,22,0,1,0,NA
"455",297.1344436,15,6,22,0,0,0,NA
"456",297.1530242,16,3,26,0,1,0,NA
"457",297.1708108,16,5,26,0,0,0,NA
"458",297.2435667,18,3,34,0,0,0,NA
"459",299.0054729,12,5,12,0,2,0,NA
"460",299.0232152,12,7,12,0,1,0,NA
"461",299.0412082,8,9,15,1,0,1,NA
"462",299.0595713,13,6,16,0,1,0,NA
"463",299.07736,13,8,16,0,0,0,NA
"464",299.0926347,17,5,16,0,0,0,NA
"465",299.0958584,14,5,20,0,1,0,NA
"466",299.1136939,14,7,20,0,0,0,NA
"467",299.1291069,18,4,20,0,0,0,NA
"468",299.1500243,15,6,24,0,0,0,NA
"469",299.18645,16,5,28,0,0,0,NA
"470",300.0396027,8,9,15,1,1,0,NA
"471",300.1929938,14,4,27,3,0,0,NA
"472",301.0024288,11,8,10,0,1,0,NA
"473",301.0355368,15,7,10,0,0,0,NA
"474",301.0389756,12,7,14,0,1,0,NA
"475",301.0568138,8,9,17,1,0,1,NA
"476",301.0719157,16,6,14,0,0,0,NA
"477",301.0930384,13,8,18,0,0,0,NA
"478",301.1082943,17,5,18,0,0,0,NA
"479",301.1293269,14,7,22,0,0,0,NA
"480",301.1445305,18,4,22,0,0,0,NA
"481",301.1657278,15,6,26,0,0,0,NA
"482",301.2020919,16,5,30,0,0,0,NA
"483",301.2384642,17,4,34,0,0,0,NA
"484",302.1721739,13,5,25,3,0,0,NA
"485",303.0150511,10,8,11,1,0,1,NA
"486",303.0180788,11,8,12,0,1,0,NA
"487",303.0511428,15,7,12,0,0,0,NA
"488",303.0544446,12,7,16,0,1,0,NA
"489",303.0723236,12,9,16,0,0,0,NA
"490",303.0875444,16,6,16,0,0,0,NA
"491",303.0908009,13,6,20,0,1,0,NA
"492",303.1086882,13,8,20,0,0,0,NA
"493",303.1239886,17,5,20,0,0,0,NA
"494",303.1449911,14,7,24,0,0,0,NA
"495",303.1602504,18,4,24,0,0,0,NA
"496",304.1515495,12,6,23,3,0,0,NA
"497",305.0305463,14,8,10,0,0,0,NA
"498",305.0342706,12,3,18,0,3,0,NA
"499",305.0669034,15,7,14,0,0,0,NA
"500",305.0700754,12,7,18,0,1,0,NA
"501",305.1031809,16,6,18,0,0,0,NA
"502",305.1064321,13,6,22,0,1,0,NA
"503",305.139565,17,5,22,0,0,0,NA
"504",305.1758923,18,4,26,0,0,0,NA
"505",305.9803326,15,1,5,3,2,0,NA
"506",307.0098763,9,9,11,1,0,1,NA
"507",307.0128602,10,9,12,0,1,0,NA
"508",307.0420268,9,10,12,2,0,0,NA
"509",307.0460825,14,8,12,0,0,0,NA
"510",307.0493116,11,8,16,0,1,0,NA
"511",307.0673163,11,10,16,0,0,0,NA
"512",307.0824109,15,7,16,0,0,0,NA
"513",307.0859769,12,7,20,0,1,0,NA
"514",307.1187128,16,6,20,0,0,0,NA
"515",307.1220338,13,6,24,0,1,0,NA
"516",307.1551189,17,5,24,0,0,0,NA
"517",307.1585099,14,5,28,0,1,0,NA
"518",307.19152,18,4,28,0,0,0,NA
"519",308.0778397,14,7,15,1,0,0,NA
"520",309.0254429,13,9,10,0,0,0,NA
"521",309.0617109,14,8,14,0,0,0,NA
"522",309.082789,11,10,18,0,0,0,NA
"523",309.0979554,15,7,18,0,0,0,NA
"524",309.1343937,16,6,22,0,0,0,NA
"525",309.1380152,13,6,26,0,1,0,NA
