"","peak","C","O","H","N","S","P","MolForm"
"124",215.0352119,8,4,11,1,0,1,NA
"125",215.0562984,9,6,12,0,0,0,NA
"126",215.0925992,10,5,16,0,0,0,NA
"127",215.1290003,11,4,20,0,0,0,NA
"128",215.1653134,12,3,24,0,0,0,NA
"129",216.0514203,8,6,11,1,0,0,NA
"130",216.9813475,7,6,6,0,1,0,NA
"131",217.0507769,12,4,10,0,0,0,NA
"132",217.0717816,9,6,14,0,0,0,NA
"133",217.1082511,10,5,18,0,0,0,NA
"134",217.1446606,11,4,22,0,0,0,NA
"135",218.0671265,8,6,13,1,0,0,NA
"136",219.0300522,11,5,8,0,0,0,NA
"137",219.0511437,8,7,12,0,0,0,NA
"138",219.0663296,12,4,12,0,0,0,NA
"139",219.0875749,9,6,16,0,0,0,NA
"140",219.1754907,15,1,24,0,0,0,NA
"141",220.0827537,8,6,15,1,0,0,NA
"142",221.0092653,10,6,6,0,0,0,NA
"143",221.0456844,11,5,10,0,0,0,NA
"144",221.0667797,8,7,14,0,0,0,NA
"145",221.0820542,12,4,14,0,0,0,NA
"146",221.1547641,14,2,22,0,0,0,NA
"147",222.9894813,10,2,8,0,2,0,NA
"148",223.0249602,10,6,8,0,0,0,NA
"149",223.0613762,11,5,12,0,0,0,NA
"150",223.0976777,12,4,16,0,0,0,NA
"151",223.1340339,13,3,20,0,0,0,NA
"152",224.0279514,7,4,14,0,1,1,NA
"153",224.0567906,6,5,14,2,0,1,NA
"154",225.040651,10,6,10,0,0,0,NA
"155",225.061598,7,8,14,0,0,0,NA
"156",225.0769291,11,5,14,0,0,0,NA
"157",225.1133605,12,4,18,0,0,0,NA
"158",225.1497349,13,3,22,0,0,0,NA
"159",226.0361867,5,6,12,2,0,1,NA
"160",227.0561775,10,6,12,0,0,0,NA
"161",227.0925897,11,5,16,0,0,0,NA
"162",227.1038978,10,4,16,2,0,0,NA
"163",227.1289727,12,4,20,0,0,0,NA
"164",227.1653188,13,3,24,0,0,0,NA
"165",227.2017076,14,2,28,0,0,0,NA
"166",228.160626,12,3,23,1,0,0,NA
"167",228.9456738,8,2,6,0,3,0,NA
"168",229.0718332,10,6,14,0,0,0,NA
"169",229.0830558,9,5,14,2,0,0,NA
"170",229.1082427,11,5,18,0,0,0,NA
"171",229.144641,12,4,22,0,0,0,NA
"172",229.1558355,11,3,22,2,0,0,NA
"173",229.1810305,13,3,26,0,0,0,NA
"174",230.0672388,9,6,13,1,0,0,NA
"175",231.0300314,12,5,8,0,0,0,NA
"176",231.0661683,13,4,12,0,0,0,NA
"177",231.0875297,10,6,16,0,0,0,NA
"178",231.0987498,9,5,16,2,0,0,NA
"179",231.1239364,11,5,20,0,0,0,NA
"180",231.1351458,10,4,20,2,0,0,NA
"181",231.1602949,12,4,24,0,0,0,NA
"182",233.0456293,12,5,10,0,0,0,NA
"183",233.0668314,9,7,14,0,0,0,NA
"184",233.0820322,13,4,14,0,0,0,NA
"185",233.1032034,10,6,18,0,0,0,NA
"186",233.1547875,15,2,22,0,0,0,NA
"187",234.0621026,8,7,13,1,0,0,NA
"188",234.9893104,11,2,8,0,2,0,NA
"189",235.0249671,11,6,8,0,0,0,NA
"190",235.0258673,12,1,12,0,2,0,NA
"191",235.0613494,12,5,12,0,0,0,NA
"192",235.0976713,13,4,16,0,0,0,NA
"193",235.1187734,10,6,20,0,0,0,NA
"194",235.1340369,14,3,20,0,0,0,NA
"195",235.1704463,15,2,24,0,0,0,NA
"196",236.0776916,8,7,15,1,0,0,NA
"197",236.9679004,9,8,2,0,0,0,NA
"198",237.0405807,11,6,10,0,0,0,NA
"199",237.0616958,8,8,14,0,0,0,NA
"200",237.076964,12,5,14,0,0,0,NA
"201",237.0803631,9,5,18,0,1,0,NA
"202",237.1133203,13,4,18,0,0,0,NA
"203",237.1497107,14,3,22,0,0,0,NA
"204",238.0721562,11,5,13,1,0,0,NA
"205",238.9843561,10,3,8,0,2,0,NA
"206",239.0200265,6,7,11,1,0,1,NA
"207",239.023062,7,7,12,0,1,0,NA
"208",239.0562735,11,6,12,0,0,0,NA
"209",239.0674816,10,5,12,2,0,0,NA
"210",239.0926138,12,5,16,0,0,0,NA
"211",239.1039362,11,4,16,2,0,0,NA
"212",239.1289716,13,4,20,0,0,0,NA
"213",239.1653941,14,3,24,0,0,0,NA
"214",240.015204,9,7,7,1,0,0,NA
"215",240.059294,8,4,18,0,1,1,NA
"216",240.9208015,7,2,2,2,3,0,NA
"217",241.0355815,10,7,10,0,0,0,NA
"218",241.0718644,11,6,14,0,0,0,NA
"219",241.0830653,10,5,14,2,0,0,NA
"220",241.1082909,12,5,18,0,0,0,NA
"221",241.1195803,11,4,18,2,0,0,NA
"222",241.1446722,13,4,22,0,0,0,NA
"223",241.1810218,14,3,26,0,0,0,NA
"224",241.217395,15,2,30,0,0,0,NA
"225",242.1762818,13,3,25,1,0,0,NA
"226",242.961341,9,2,8,0,3,0,NA
"227",243.051222,10,7,12,0,0,0,NA
"228",243.0623426,9,6,12,2,0,0,NA
"229",243.0875313,11,6,16,0,0,0,NA
"230",243.0988023,10,5,16,2,0,0,NA
"231",243.1027998,15,3,16,0,0,0,NA
"232",243.123906,12,5,20,0,0,0,NA
"233",243.1602749,13,4,24,0,0,0,NA
"234",243.1715144,12,3,24,2,0,0,NA
"235",243.1966634,14,3,28,0,0,0,NA
"236",244.1303208,10,4,19,3,0,0,NA
"237",245.0457687,13,5,10,0,0,0,NA
"238",245.0668432,10,7,14,0,0,0,NA
"239",245.0820287,14,4,14,0,0,0,NA
"240",245.1031834,11,6,18,0,0,0,NA
"241",245.1143982,10,5,18,2,0,0,NA
"242",245.1395413,12,5,22,0,0,0,NA
"243",245.1759588,13,4,26,0,0,0,NA
"244",247.0250341,12,6,8,0,0,0,NA
"245",247.0613767,13,5,12,0,0,0,NA
"246",247.0824117,10,7,16,0,0,0,NA
"247",247.0935955,9,6,16,2,0,0,NA
"248",247.0976074,14,4,16,0,0,0,NA
"249",247.1187954,11,6,20,0,0,0,NA
"250",247.1340664,15,3,20,0,0,0,NA
"251",247.1552118,12,5,24,0,0,0,NA
"252",248.0927217,13,4,15,1,0,0,NA
"253",249.0041372,11,7,6,0,0,0,NA
"254",249.0406077,12,6,10,0,0,0,NA
"255",249.0616971,9,8,14,0,0,0,NA
"256",249.0770133,13,5,14,0,0,0,NA
"257",249.0981985,10,7,18,0,0,0,NA
"258",249.1133546,14,4,18,0,0,0,NA
"259",249.149736,15,3,22,0,0,0,NA
"260",249.1860365,16,2,26,0,0,0,NA
"261",250.0358391,11,6,9,1,0,0,NA
"262",250.0367484,12,1,13,1,2,0,NA
"263",250.07236,8,5,16,2,0,1,NA
"264",250.9630492,14,1,4,0,2,0,NA
"265",251.019934,11,7,8,0,0,0,NA
"266",251.0562889,12,6,12,0,0,0,NA
"267",251.0773791,9,8,16,0,0,0,NA
"268",251.0925928,13,5,16,0,0,0,NA
"269",251.0958823,10,5,20,0,1,0,NA
"270",251.1289764,14,4,20,0,0,0,NA
"271",251.1653307,15,3,24,0,0,0,NA
"272",252.0516437,7,6,14,2,0,1,NA
"273",252.0879604,12,5,15,1,0,0,NA
"274",253.0355117,11,7,10,0,0,0,NA
"275",253.0718755,12,6,14,0,0,0,NA
"276",253.075344,9,6,18,0,1,0,NA
"277",253.1082374,13,5,18,0,0,0,NA
"278",253.1446173,14,4,22,0,0,0,NA
"279",253.2173759,16,2,30,0,0,0,NA
"280",254.0673289,7,6,16,2,0,1,NA
"281",255.051222,11,7,12,0,0,0,NA
"282",255.0623822,10,6,12,2,0,0,NA
"283",255.0663479,15,4,12,0,0,0,NA
"284",255.0874752,12,6,16,0,0,0,NA
"285",255.1239039,13,5,20,0,0,0,NA
"286",255.1602772,14,4,24,0,0,0,NA
"287",255.1966745,15,3,28,0,0,0,NA
"288",255.232999,16,2,32,0,0,0,NA
"289",255.9415711,8,8,2,0,0,1,NA
"290",256.0939363,10,5,15,3,0,0,NA
"291",257.0458228,10,5,13,1,0,1,NA
"292",257.0668726,11,7,14,0,0,0,NA
"293",257.0780322,10,6,14,2,0,0,NA
"294",257.0966728,11,3,18,2,1,0,NA
"295",257.1031692,12,6,18,0,0,0,NA
"296",257.1144775,11,5,18,2,0,0,NA
"297",257.139565,13,5,22,0,0,0,NA
"298",257.1759304,14,4,26,0,0,0,NA
"299",257.2123254,15,3,30,0,0,0,NA
"300",257.9714387,8,7,5,1,1,0,NA
"301",259.0253563,9,6,11,1,0,1,NA
"302",259.046124,10,8,12,0,0,0,NA
"303",259.0613502,14,5,12,0,0,0,NA
"304",259.0824426,11,7,16,0,0,0,NA
"305",259.0933564,10,6,16,2,0,0,NA
"306",259.1187535,12,6,20,0,0,0,NA
"307",259.1300733,11,5,20,2,0,0,NA
"308",259.1552258,13,5,24,0,0,0,NA
"309",259.1916264,14,4,28,0,0,0,NA
"310",261.0406462,13,6,10,0,0,0,NA
"311",261.07705,14,5,14,0,0,0,NA
"312",261.098032,11,7,18,0,0,0,NA
"313",261.1133571,15,4,18,0,0,0,NA
"314",261.1344445,12,6,22,0,0,0,NA
"315",261.1708342,13,5,26,0,0,0,NA
"316",261.9858923,12,3,8,0,1,1,NA
"317",262.0723205,13,5,13,1,0,0,NA
"318",262.9083501,6,2,4,2,4,0,NA
"319",263.0199491,12,7,8,0,0,0,NA
"320",263.0571299,14,1,16,0,2,0,NA
"321",263.0773668,10,8,16,0,0,0,NA
"322",263.092604,14,5,16,0,0,0,NA
"323",263.1137353,11,7,20,0,0,0,NA
"324",263.1290236,15,4,20,0,0,0,NA
"325",263.1653498,16,3,24,0,0,0,NA
"326",264.0878646,13,5,15,1,0,0,NA
"327",264.8878073,5,3,2,2,4,0,NA
"328",265.0356864,8,7,13,1,0,1,NA
"329",265.0567488,9,9,14,0,0,0,NA
"330",265.0718891,13,6,14,0,0,0,NA
"331",265.1082395,14,5,18,0,0,0,NA
"332",265.1115731,11,5,22,0,1,0,NA
"333",265.1446113,15,4,22,0,0,0,NA
"334",265.1809981,16,3,26,0,0,0,NA
"335",265.9264765,10,3,4,0,2,1,NA
"336",266.0672118,12,6,13,1,0,0,NA
"337",266.0882951,9,8,17,1,0,0,NA
"338",267.0148482,11,8,8,0,0,0,NA
"339",267.0512063,12,7,12,0,0,0,NA
"340",267.0722291,9,9,16,0,0,0,NA
"341",267.0875282,13,6,16,0,0,0,NA
"342",267.0908279,10,6,20,0,1,0,NA
"343",267.1238607,14,5,20,0,0,0,NA
"344",267.1602916,15,4,24,0,0,0,NA
"345",267.1966411,16,3,28,0,0,0,NA
"346",268.9576913,9,10,2,0,0,0,NA
"347",269.0101392,15,1,10,0,2,0,NA
"348",269.0668362,12,7,14,0,0,0,NA
"349",269.1031667,13,6,18,0,0,0,NA
"350",269.1141902,12,5,18,2,0,0,NA
"351",269.1395402,14,5,22,0,0,0,NA
"352",269.1758837,15,4,26,0,0,0,NA
"353",269.2123219,16,3,30,0,0,0,NA
"354",269.2486299,17,2,34,0,0,0,NA
"355",270.0621185,11,7,13,1,0,0,NA
"356",270.9520872,5,5,8,2,3,0,NA
"357",270.9562051,10,3,8,0,3,0,NA
"358",271.0461037,11,8,12,0,0,0,NA
"359",271.0614653,15,5,12,0,0,0,NA
"360",271.0824432,12,7,16,0,0,0,NA
"361",271.0976895,16,4,16,0,0,0,NA
"362",271.1188314,13,6,20,0,0,0,NA
"363",271.1551954,14,5,24,0,0,0,NA
"364",271.1915161,15,4,28,0,0,0,NA
"365",271.2279486,16,3,32,0,0,0,NA
"366",271.9486008,8,3,6,2,2,1,NA
"367",272.0889013,10,6,15,3,0,0,NA
"368",273.0406578,14,6,10,0,0,0,NA
"369",273.0617766,11,8,14,0,0,0,NA
"370",273.0769177,15,5,14,0,0,0,NA
"371",273.0980724,12,7,18,0,0,0,NA
"372",273.113354,16,4,18,0,0,0,NA
"373",273.1344469,13,6,22,0,0,0,NA
"374",273.1497831,17,3,22,0,0,0,NA
"375",273.1708549,14,5,26,0,0,0,NA
"376",273.2071865,15,4,30,0,0,0,NA
"377",274.1045096,10,6,17,3,0,0,NA
"378",275.019984,13,7,8,0,0,0,NA
"379",275.056299,14,6,12,0,0,0,NA
"380",275.0775036,11,8,16,0,0,0,NA
"381",275.0886431,10,7,16,2,0,0,NA
"382",275.0926573,15,5,16,0,0,0,NA
"383",275.1137005,12,7,20,0,0,0,NA
"384",275.1289519,16,4,20,0,0,0,NA
"385",275.1500988,13,6,24,0,0,0,NA
"386",275.1653941,17,3,24,0,0,0,NA
"387",276.05161,13,6,11,1,0,0,NA
"388",277.0355525,13,7,10,0,0,0,NA
"389",277.0567261,10,9,14,0,0,0,NA
"390",277.0727684,15,1,18,0,2,0,NA
"391",277.1082312,15,5,18,0,0,0,NA
"392",277.1293706,12,7,22,0,0,0,NA
"393",277.1446284,16,4,22,0,0,0,NA
"394",277.1809696,17,3,26,0,0,0,NA
"395",278.0672913,9,6,16,2,0,1,NA
"396",278.0882647,10,8,17,1,0,0,NA
"397",278.0932949,16,2,13,3,0,0,NA
"398",279.0148229,12,8,8,0,0,0,NA
"399",279.0512785,13,7,12,0,0,0,NA
"400",279.0722855,10,9,16,0,0,0,NA
"401",279.0875094,14,6,16,0,0,0,NA
"402",279.1238533,15,5,20,0,0,0,NA
"403",279.1602213,16,4,24,0,0,0,NA
"404",280.119163,14,5,19,1,0,0,NA
"405",280.9189308,6,3,6,2,4,0,NA
"406",281.0305149,12,8,10,0,0,0,NA
"407",281.0667268,13,7,14,0,0,0,NA
"408",281.0879078,10,9,18,0,0,0,NA
"409",281.1031324,14,6,18,0,0,0,NA
"410",281.1395288,15,5,22,0,0,0,NA
"411",281.1758878,16,4,26,0,0,0,NA
"412",281.2122692,17,3,30,0,0,0,NA
"413",281.248659,18,2,34,0,0,0,NA
"414",282.0983627,13,6,17,1,0,0,NA
"415",282.8983862,5,4,4,2,4,0,NA
"416",283.0461569,12,8,12,0,0,0,NA
"417",283.0614204,16,5,12,0,0,0,NA
"418",283.0823904,13,7,16,0,0,0,NA
"419",283.097586,17,4,16,0,0,0,NA
"420",283.1035597,10,9,20,0,0,0,NA
"421",283.1187988,14,6,20,0,0,0,NA
"422",283.1551922,15,5,24,0,0,0,NA
"423",283.1915407,16,4,28,0,0,0,NA
"424",283.227873,17,3,32,0,0,0,NA
"425",283.2642985,18,2,36,0,0,0,NA
"426",284.0666845,9,8,18,0,0,1,NA
"427",284.1139143,13,6,19,1,0,0,NA
"428",284.9902689,7,5,13,1,2,1,NA
"429",285.0617522,12,8,14,0,0,0,NA
"430",285.0770958,16,5,14,0,0,0,NA
"431",285.0980526,13,7,18,0,0,0,NA
"432",285.1133298,17,4,18,0,0,0,NA
"433",285.1166255,14,4,22,0,1,0,NA
"434",285.1343664,14,6,22,0,0,0,NA
"435",285.1707838,15,5,26,0,0,0,NA
"436",285.207213,16,4,30,0,0,0,NA
"437",285.2435478,17,3,34,0,0,0,NA
"438",286.1408916,12,5,21,3,0,0,NA
"439",286.9119499,8,5,3,1,2,1,NA
"440",286.9844074,14,3,8,0,2,0,NA
"441",287.0198964,14,7,8,0,0,0,NA
"442",287.0562163,15,6,12,0,0,0,NA
"443",287.0774383,12,8,16,0,0,0,NA
"444",287.0885401,11,7,16,2,0,0,NA
"445",287.0926889,16,5,16,0,0,0,NA
"446",287.1137043,13,7,20,0,0,0,NA
"447",287.1249891,12,6,20,2,0,0,NA
"448",287.1289957,17,4,20,0,0,0,NA
"449",287.150096,14,6,24,0,0,0,NA
"450",287.165282,18,3,24,0,0,0,NA
"451",287.1864749,15,5,28,0,0,0,NA
"452",287.2228738,16,4,32,0,0,0,NA
"453",288.9124301,9,3,6,0,4,0,NA
"454",289.0354664,14,7,10,0,0,0,NA
"455",289.0719951,15,6,14,0,0,0,NA
"456",289.0832791,10,5,17,3,0,1,NA
"457",289.0929885,12,8,18,0,0,0,NA
"458",289.1042248,11,7,18,2,0,0,NA
"459",289.1082369,16,5,18,0,0,0,NA
"460",289.1293338,13,7,22,0,0,0,NA
"461",289.144647,17,4,22,0,0,0,NA
"462",289.1657319,14,6,26,0,0,0,NA
"463",289.2021585,15,5,30,0,0,0,NA
"464",290.0882476,11,8,17,1,0,0,NA
"465",291.0148359,13,8,8,0,0,0,NA
"466",291.05117,14,7,12,0,0,0,NA
"467",291.0876615,15,6,16,0,0,0,NA
"468",291.0987108,14,5,16,2,0,0,NA
"469",291.1239273,16,5,20,0,0,0,NA
"470",291.1449137,13,7,24,0,0,0,NA
"471",291.1602793,17,4,24,0,0,0,NA
"472",291.1965962,18,3,28,0,0,0,NA
"473",292.1039781,11,8,19,1,0,0,NA
"474",293.0668189,14,7,14,0,0,0,NA
"475",293.103134,15,6,18,0,0,0,NA
"476",293.1143849,14,5,18,2,0,0,NA
"477",293.1394878,16,5,22,0,0,0,NA
"478",293.171623,12,6,26,2,0,0,NA
"479",293.1758252,17,4,26,0,0,0,NA
"480",294.0621539,13,7,13,1,0,0,NA
"481",294.1708528,16,4,25,1,0,0,NA
"482",294.9345152,10,6,3,1,1,1,NA
"483",295.0461931,13,8,12,0,0,0,NA
"484",295.0671291,10,10,16,0,0,0,NA
"485",295.0823728,14,7,16,0,0,0,NA
"486",295.1036666,11,9,20,0,0,0,NA
"487",295.1187395,15,6,20,0,0,0,NA
"488",295.1551543,16,5,24,0,0,0,NA
"489",295.1915222,17,4,28,0,0,0,NA
"490",295.2279434,18,3,32,0,0,0,NA
"491",296.9345814,10,9,2,0,1,0,NA
"492",296.9525732,10,11,2,0,0,0,NA
"493",297.0472019,10,6,18,0,2,0,NA
"494",297.0617609,13,8,14,0,0,0,NA
"495",297.0827705,10,10,18,0,0,0,NA
"496",297.0980843,14,7,18,0,0,0,NA
"497",297.1344436,15,6,22,0,0,0,NA
"498",297.1530242,16,3,26,0,1,0,NA
"499",297.1708108,16,5,26,0,0,0,NA
"500",297.2071166,17,4,30,0,0,0,NA
"501",297.2435667,18,3,34,0,0,0,NA
"502",297.2799177,19,2,38,0,0,0,NA
"503",298.071855,16,5,13,1,0,0,NA
"504",298.1409275,13,5,21,3,0,0,NA
"505",299.0054729,12,5,12,0,2,0,NA
"506",299.0264588,9,7,16,0,2,0,NA
"507",299.07736,13,8,16,0,0,0,NA
"508",299.0883921,12,7,16,2,0,0,NA
"509",299.0926347,17,5,16,0,0,0,NA
"510",299.1136939,14,7,20,0,0,0,NA
"511",299.1500243,15,6,24,0,0,0,NA
"512",299.18645,16,5,28,0,0,0,NA
"513",299.2016988,20,2,28,0,0,0,NA
"514",299.2228309,17,4,32,0,0,0,NA
"515",299.2591921,18,3,36,0,0,0,NA
"516",300.0400809,9,4,19,1,3,0,NA
"517",300.0727661,12,8,15,1,0,0,NA
"518",300.1202291,12,6,19,3,0,0,NA
"519",301.0209949,12,5,14,0,2,0,NA
"520",301.0355368,15,7,10,0,0,0,NA
"521",301.0568138,8,9,17,1,0,1,NA
"522",301.0719157,16,6,14,0,0,0,NA
"523",301.0930384,13,8,18,0,0,0,NA
"524",301.1042636,12,7,18,2,0,0,NA
"525",301.1082943,17,5,18,0,0,0,NA
"526",301.1293269,14,7,22,0,0,0,NA
"527",301.1405109,13,6,22,2,0,0,NA
"528",301.1445305,18,4,22,0,0,0,NA
"529",301.1657278,15,6,26,0,0,0,NA
"530",301.1808603,19,3,26,0,0,0,NA
"531",301.2020919,16,5,30,0,0,0,NA
"532",301.217261,20,2,30,0,0,0,NA
"533",301.2384642,17,4,34,0,0,0,NA
"534",301.8926856,5,6,5,1,4,0,NA
"535",302.1032771,16,5,17,1,0,0,NA
"536",302.1358259,12,6,21,3,0,0,NA
"537",302.9280622,10,3,8,0,4,0,NA
"538",303.0511428,15,7,12,0,0,0,NA
"539",303.0723236,12,9,16,0,0,0,NA
"540",303.0875444,16,6,16,0,0,0,NA
"541",303.1086882,13,8,20,0,0,0,NA
"542",303.1239886,17,5,20,0,0,0,NA
"543",303.1449911,14,7,24,0,0,0,NA
"544",303.1602504,18,4,24,0,0,0,NA
"545",303.1813469,15,6,28,0,0,0,NA
"546",303.1966118,19,3,28,0,0,0,NA
"547",303.2177418,16,5,32,0,0,0,NA
"548",304.1190988,16,5,19,1,0,0,NA
"549",305.0305463,14,8,10,0,0,0,NA
"550",305.0669034,15,7,14,0,0,0,NA
"551",305.1031809,16,6,18,0,0,0,NA
"552",305.124301,13,8,22,0,0,0,NA
"553",305.139565,17,5,22,0,0,0,NA
"554",305.1605465,14,7,26,0,0,0,NA
"555",305.1758923,18,4,26,0,0,0,NA
"556",306.098521,15,6,17,1,0,0,NA
"557",307.0460825,14,8,12,0,0,0,NA
"558",307.0824109,15,7,16,0,0,0,NA
"559",307.0938152,14,6,16,2,0,0,NA
"560",307.1187128,16,6,20,0,0,0,NA
"561",307.1551189,17,5,24,0,0,0,NA
"562",307.19152,18,4,28,0,0,0,NA
"563",308.0379898,9,5,15,3,2,0,NA
"564",308.0987579,11,9,19,1,0,0,NA
"565",308.867296,8,1,6,0,6,0,NA
"566",308.9137221,7,4,6,2,4,0,NA
"567",309.0617109,14,8,14,0,0,0,NA
"568",309.082789,11,10,18,0,0,0,NA
"569",309.0979554,15,7,18,0,0,0,NA
"570",309.1097761,10,6,21,3,0,1,NA
"571",309.119234,12,9,22,0,0,0,NA
"572",309.1343937,16,6,22,0,0,0,NA
"573",309.1708179,17,5,26,0,0,0,NA
"574",309.2071441,18,4,30,0,0,0,NA
"575",310.9296897,10,7,3,1,1,1,NA
"576",310.9866123,12,8,8,0,1,0,NA
"577",311.0411146,13,9,12,0,0,0,NA
"578",311.0773552,14,8,16,0,0,0,NA
"579",311.0981325,11,10,20,0,0,0,NA
"580",311.0990494,12,5,24,0,2,0,NA
"581",311.113684,15,7,20,0,0,0,NA
"582",311.1500634,16,6,24,0,0,0,NA
"583",311.1686769,17,3,28,0,1,0,NA
"584",311.1864674,17,5,28,0,0,0,NA
