peak,C,O,H,N,S,P,MolForm
239.0674816,10,5,12,2,0,0,NA
239.0926138,12,5,16,0,0,0,NA
239.1039362,11,4,16,2,0,0,NA
239.1289716,13,4,20,0,0,0,NA
239.1653941,14,3,24,0,0,0,NA
240.015204,9,7,7,1,0,0,NA
240.059294,8,4,18,0,1,1,NA
240.9208015,7,2,2,2,3,0,NA
241.0355815,10,7,10,0,0,0,NA
241.0718644,11,6,14,0,0,0,NA
241.0830653,10,5,14,2,0,0,NA
241.1082909,12,5,18,0,0,0,NA
241.1195803,11,4,18,2,0,0,NA
241.1446722,13,4,22,0,0,0,NA
241.1810218,14,3,26,0,0,0,NA
241.217395,15,2,30,0,0,0,NA
242.1762818,13,3,25,1,0,0,NA
242.961341,9,2,8,0,3,0,NA
243.051222,10,7,12,0,0,0,NA
243.0623426,9,6,12,2,0,0,NA
243.0875313,11,6,16,0,0,0,NA
243.0988023,10,5,16,2,0,0,NA
243.1027998,15,3,16,0,0,0,NA
243.123906,12,5,20,0,0,0,NA
243.1602749,13,4,24,0,0,0,NA
243.1715144,12,3,24,2,0,0,NA
243.1966634,14,3,28,0,0,0,NA
244.1303208,10,4,19,3,0,0,NA
245.0457687,13,5,10,0,0,0,NA
245.0668432,10,7,14,0,0,0,NA
245.0820287,14,4,14,0,0,0,NA
245.1031834,11,6,18,0,0,0,NA
245.1143982,10,5,18,2,0,0,NA
245.1395413,12,5,22,0,0,0,NA
245.1759588,13,4,26,0,0,0,NA
247.0250341,12,6,8,0,0,0,NA
247.0613767,13,5,12,0,0,0,NA
247.0824117,10,7,16,0,0,0,NA
247.0935955,9,6,16,2,0,0,NA
247.0976074,14,4,16,0,0,0,NA
247.1187954,11,6,20,0,0,0,NA
247.1340664,15,3,20,0,0,0,NA
247.1552118,12,5,24,0,0,0,NA
248.0927217,13,4,15,1,0,0,NA
249.0041372,11,7,6,0,0,0,NA
249.0406077,12,6,10,0,0,0,NA
249.0616971,9,8,14,0,0,0,NA
249.0770133,13,5,14,0,0,0,NA
249.0981985,10,7,18,0,0,0,NA
249.1133546,14,4,18,0,0,0,NA
249.149736,15,3,22,0,0,0,NA
249.1860365,16,2,26,0,0,0,NA
250.0358391,11,6,9,1,0,0,NA
250.0367484,12,1,13,1,2,0,NA
250.07236,8,5,16,2,0,1,NA
250.9630492,14,1,4,0,2,0,NA
251.019934,11,7,8,0,0,0,NA
251.0562889,12,6,12,0,0,0,NA
251.0773791,9,8,16,0,0,0,NA
251.0925928,13,5,16,0,0,0,NA
251.0958823,10,5,20,0,1,0,NA
251.1289764,14,4,20,0,0,0,NA
251.1653307,15,3,24,0,0,0,NA
252.0516437,7,6,14,2,0,1,NA
252.0879604,12,5,15,1,0,0,NA
253.0355117,11,7,10,0,0,0,NA
253.0718755,12,6,14,0,0,0,NA
253.075344,9,6,18,0,1,0,NA
253.1082374,13,5,18,0,0,0,NA
253.1446173,14,4,22,0,0,0,NA
253.2173759,16,2,30,0,0,0,NA
254.0673289,7,6,16,2,0,1,NA
255.051222,11,7,12,0,0,0,NA
255.0623822,10,6,12,2,0,0,NA
255.0663479,15,4,12,0,0,0,NA
255.0874752,12,6,16,0,0,0,NA
255.1239039,13,5,20,0,0,0,NA
255.1602772,14,4,24,0,0,0,NA
255.1966745,15,3,28,0,0,0,NA
255.232999,16,2,32,0,0,0,NA
255.9415711,8,8,2,0,0,1,NA
256.0939363,10,5,15,3,0,0,NA
257.0458228,10,5,13,1,0,1,NA
257.0668726,11,7,14,0,0,0,NA
257.0780322,10,6,14,2,0,0,NA
257.0966728,11,3,18,2,1,0,NA
257.1031692,12,6,18,0,0,0,NA
257.1144775,11,5,18,2,0,0,NA
257.139565,13,5,22,0,0,0,NA
257.1759304,14,4,26,0,0,0,NA
257.2123254,15,3,30,0,0,0,NA
257.9714387,8,7,5,1,1,0,NA
259.0253563,9,6,11,1,0,1,NA
259.046124,10,8,12,0,0,0,NA
259.0613502,14,5,12,0,0,0,NA
259.0824426,11,7,16,0,0,0,NA
259.0933564,10,6,16,2,0,0,NA
259.1187535,12,6,20,0,0,0,NA
259.1300733,11,5,20,2,0,0,NA
259.1552258,13,5,24,0,0,0,NA
259.1916264,14,4,28,0,0,0,NA
261.0406462,13,6,10,0,0,0,NA
261.07705,14,5,14,0,0,0,NA
261.098032,11,7,18,0,0,0,NA
261.1133571,15,4,18,0,0,0,NA
261.1344445,12,6,22,0,0,0,NA
261.1708342,13,5,26,0,0,0,NA
261.9858923,12,3,8,0,1,1,NA
262.0723205,13,5,13,1,0,0,NA
262.9083501,6,2,4,2,4,0,NA
263.0199491,12,7,8,0,0,0,NA
263.0571299,14,1,16,0,2,0,NA
263.0773668,10,8,16,0,0,0,NA
263.092604,14,5,16,0,0,0,NA
263.1137353,11,7,20,0,0,0,NA
263.1290236,15,4,20,0,0,0,NA
263.1653498,16,3,24,0,0,0,NA
264.0878646,13,5,15,1,0,0,NA
264.8878073,5,3,2,2,4,0,NA
265.0356864,8,7,13,1,0,1,NA
265.0567488,9,9,14,0,0,0,NA
265.0718891,13,6,14,0,0,0,NA
265.1082395,14,5,18,0,0,0,NA
265.1115731,11,5,22,0,1,0,NA
265.1446113,15,4,22,0,0,0,NA
265.1809981,16,3,26,0,0,0,NA
265.9264765,10,3,4,0,2,1,NA
266.0672118,12,6,13,1,0,0,NA
266.0882951,9,8,17,1,0,0,NA
267.0148482,11,8,8,0,0,0,NA
267.0512063,12,7,12,0,0,0,NA
267.0722291,9,9,16,0,0,0,NA
267.0875282,13,6,16,0,0,0,NA
267.0908279,10,6,20,0,1,0,NA
267.1238607,14,5,20,0,0,0,NA
267.1602916,15,4,24,0,0,0,NA
267.1966411,16,3,28,0,0,0,NA
268.9576913,9,10,2,0,0,0,NA
269.0101392,15,1,10,0,2,0,NA
269.0668362,12,7,14,0,0,0,NA
269.1031667,13,6,18,0,0,0,NA
269.1141902,12,5,18,2,0,0,NA
269.1395402,14,5,22,0,0,0,NA
269.1758837,15,4,26,0,0,0,NA
269.2123219,16,3,30,0,0,0,NA
269.2486299,17,2,34,0,0,0,NA
270.0621185,11,7,13,1,0,0,NA
270.9520872,5,5,8,2,3,0,NA
270.9562051,10,3,8,0,3,0,NA
271.0461037,11,8,12,0,0,0,NA
271.0614653,15,5,12,0,0,0,NA
271.0824432,12,7,16,0,0,0,NA
271.0976895,16,4,16,0,0,0,NA
271.1188314,13,6,20,0,0,0,NA
271.1551954,14,5,24,0,0,0,NA
271.1915161,15,4,28,0,0,0,NA
271.2279486,16,3,32,0,0,0,NA
271.9486008,8,3,6,2,2,1,NA
272.0889013,10,6,15,3,0,0,NA
273.0406578,14,6,10,0,0,0,NA
273.0617766,11,8,14,0,0,0,NA
273.0769177,15,5,14,0,0,0,NA
273.0980724,12,7,18,0,0,0,NA
273.113354,16,4,18,0,0,0,NA
273.1344469,13,6,22,0,0,0,NA
273.1497831,17,3,22,0,0,0,NA
273.1708549,14,5,26,0,0,0,NA
273.2071865,15,4,30,0,0,0,NA
274.1045096,10,6,17,3,0,0,NA
275.019984,13,7,8,0,0,0,NA
275.056299,14,6,12,0,0,0,NA
275.0775036,11,8,16,0,0,0,NA
275.0886431,10,7,16,2,0,0,NA
275.0926573,15,5,16,0,0,0,NA
275.1137005,12,7,20,0,0,0,NA
275.1289519,16,4,20,0,0,0,NA
275.1500988,13,6,24,0,0,0,NA
275.1653941,17,3,24,0,0,0,NA
276.05161,13,6,11,1,0,0,NA
277.0355525,13,7,10,0,0,0,NA
277.0567261,10,9,14,0,0,0,NA
277.0727684,15,1,18,0,2,0,NA
277.1082312,15,5,18,0,0,0,NA
277.1293706,12,7,22,0,0,0,NA
277.1446284,16,4,22,0,0,0,NA
277.1809696,17,3,26,0,0,0,NA
278.0672913,9,6,16,2,0,1,NA
278.0882647,10,8,17,1,0,0,NA
278.0932949,16,2,13,3,0,0,NA
279.0148229,12,8,8,0,0,0,NA
279.0512785,13,7,12,0,0,0,NA
279.0722855,10,9,16,0,0,0,NA
279.0875094,14,6,16,0,0,0,NA
279.1238533,15,5,20,0,0,0,NA
279.1602213,16,4,24,0,0,0,NA
280.119163,14,5,19,1,0,0,NA
280.9189308,6,3,6,2,4,0,NA
281.0305149,12,8,10,0,0,0,NA
281.0667268,13,7,14,0,0,0,NA
281.0879078,10,9,18,0,0,0,NA
281.1031324,14,6,18,0,0,0,NA
281.1395288,15,5,22,0,0,0,NA
281.1758878,16,4,26,0,0,0,NA
281.2122692,17,3,30,0,0,0,NA
281.248659,18,2,34,0,0,0,NA
282.0983627,13,6,17,1,0,0,NA
282.8983862,5,4,4,2,4,0,NA
283.0461569,12,8,12,0,0,0,NA
283.0614204,16,5,12,0,0,0,NA
283.0823904,13,7,16,0,0,0,NA
283.097586,17,4,16,0,0,0,NA
283.1035597,10,9,20,0,0,0,NA
283.1187988,14,6,20,0,0,0,NA
283.1551922,15,5,24,0,0,0,NA
283.1915407,16,4,28,0,0,0,NA
283.227873,17,3,32,0,0,0,NA
283.2642985,18,2,36,0,0,0,NA
284.0666845,9,8,18,0,0,1,NA
284.1139143,13,6,19,1,0,0,NA
284.9902689,7,5,13,1,2,1,NA
285.0617522,12,8,14,0,0,0,NA
285.0770958,16,5,14,0,0,0,NA
285.0980526,13,7,18,0,0,0,NA
285.1133298,17,4,18,0,0,0,NA
285.1166255,14,4,22,0,1,0,NA
285.1343664,14,6,22,0,0,0,NA
285.1707838,15,5,26,0,0,0,NA
285.207213,16,4,30,0,0,0,NA
285.2435478,17,3,34,0,0,0,NA
286.1408916,12,5,21,3,0,0,NA
286.9119499,8,5,3,1,2,1,NA
286.9844074,14,3,8,0,2,0,NA
287.0198964,14,7,8,0,0,0,NA
287.0562163,15,6,12,0,0,0,NA
287.0774383,12,8,16,0,0,0,NA
287.0885401,11,7,16,2,0,0,NA
287.0926889,16,5,16,0,0,0,NA
287.1137043,13,7,20,0,0,0,NA
287.1249891,12,6,20,2,0,0,NA
287.1289957,17,4,20,0,0,0,NA
287.150096,14,6,24,0,0,0,NA
287.165282,18,3,24,0,0,0,NA
287.1864749,15,5,28,0,0,0,NA
287.2228738,16,4,32,0,0,0,NA
288.9124301,9,3,6,0,4,0,NA
289.0354664,14,7,10,0,0,0,NA
289.0719951,15,6,14,0,0,0,NA
289.0832791,10,5,17,3,0,1,NA
289.0929885,12,8,18,0,0,0,NA
289.1042248,11,7,18,2,0,0,NA
289.1082369,16,5,18,0,0,0,NA
289.1293338,13,7,22,0,0,0,NA
289.144647,17,4,22,0,0,0,NA
289.1657319,14,6,26,0,0,0,NA
289.2021585,15,5,30,0,0,0,NA
290.0882476,11,8,17,1,0,0,NA
291.0148359,13,8,8,0,0,0,NA
291.05117,14,7,12,0,0,0,NA
291.0876615,15,6,16,0,0,0,NA
291.0987108,14,5,16,2,0,0,NA
291.1239273,16,5,20,0,0,0,NA
291.1449137,13,7,24,0,0,0,NA
291.1602793,17,4,24,0,0,0,NA
291.1965962,18,3,28,0,0,0,NA
292.1039781,11,8,19,1,0,0,NA
293.0668189,14,7,14,0,0,0,NA
293.103134,15,6,18,0,0,0,NA
293.1143849,14,5,18,2,0,0,NA
293.1394878,16,5,22,0,0,0,NA
293.171623,12,6,26,2,0,0,NA
293.1758252,17,4,26,0,0,0,NA
294.0621539,13,7,13,1,0,0,NA
294.1708528,16,4,25,1,0,0,NA
294.9345152,10,6,3,1,1,1,NA
295.0461931,13,8,12,0,0,0,NA
295.0671291,10,10,16,0,0,0,NA
295.0823728,14,7,16,0,0,0,NA
295.1036666,11,9,20,0,0,0,NA
295.1187395,15,6,20,0,0,0,NA
295.1551543,16,5,24,0,0,0,NA
295.1915222,17,4,28,0,0,0,NA
295.2279434,18,3,32,0,0,0,NA
296.9345814,10,9,2,0,1,0,NA
296.9525732,10,11,2,0,0,0,NA
297.0472019,10,6,18,0,2,0,NA
297.0617609,13,8,14,0,0,0,NA
297.0827705,10,10,18,0,0,0,NA
297.0980843,14,7,18,0,0,0,NA
297.1344436,15,6,22,0,0,0,NA
297.1530242,16,3,26,0,1,0,NA
297.1708108,16,5,26,0,0,0,NA
297.2071166,17,4,30,0,0,0,NA
297.2435667,18,3,34,0,0,0,NA
297.2799177,19,2,38,0,0,0,NA
298.071855,16,5,13,1,0,0,NA
298.1409275,13,5,21,3,0,0,NA
299.0054729,12,5,12,0,2,0,NA
299.0264588,9,7,16,0,2,0,NA
299.07736,13,8,16,0,0,0,NA
299.0883921,12,7,16,2,0,0,NA
299.0926347,17,5,16,0,0,0,NA
299.1136939,14,7,20,0,0,0,NA
299.1500243,15,6,24,0,0,0,NA
299.18645,16,5,28,0,0,0,NA
299.2016988,20,2,28,0,0,0,NA
299.2228309,17,4,32,0,0,0,NA
299.2591921,18,3,36,0,0,0,NA
300.0400809,9,4,19,1,3,0,NA
300.0727661,12,8,15,1,0,0,NA
300.1202291,12,6,19,3,0,0,NA
301.0209949,12,5,14,0,2,0,NA
301.0355368,15,7,10,0,0,0,NA
301.0568138,8,9,17,1,0,1,NA
301.0719157,16,6,14,0,0,0,NA
301.0930384,13,8,18,0,0,0,NA
301.1042636,12,7,18,2,0,0,NA
301.1082943,17,5,18,0,0,0,NA
301.1293269,14,7,22,0,0,0,NA
301.1405109,13,6,22,2,0,0,NA
301.1445305,18,4,22,0,0,0,NA
301.1657278,15,6,26,0,0,0,NA
301.1808603,19,3,26,0,0,0,NA
301.2020919,16,5,30,0,0,0,NA
301.217261,20,2,30,0,0,0,NA
301.2384642,17,4,34,0,0,0,NA
301.8926856,5,6,5,1,4,0,NA
302.1032771,16,5,17,1,0,0,NA
302.1358259,12,6,21,3,0,0,NA
302.9280622,10,3,8,0,4,0,NA
303.0511428,15,7,12,0,0,0,NA
303.0723236,12,9,16,0,0,0,NA
303.0875444,16,6,16,0,0,0,NA
303.1086882,13,8,20,0,0,0,NA
303.1239886,17,5,20,0,0,0,NA
303.1449911,14,7,24,0,0,0,NA
303.1602504,18,4,24,0,0,0,NA
303.1813469,15,6,28,0,0,0,NA
303.1966118,19,3,28,0,0,0,NA
303.2177418,16,5,32,0,0,0,NA
304.1190988,16,5,19,1,0,0,NA
305.0305463,14,8,10,0,0,0,NA
305.0669034,15,7,14,0,0,0,NA
305.1031809,16,6,18,0,0,0,NA
305.124301,13,8,22,0,0,0,NA
305.139565,17,5,22,0,0,0,NA
305.1605465,14,7,26,0,0,0,NA
305.1758923,18,4,26,0,0,0,NA
306.098521,15,6,17,1,0,0,NA
307.0460825,14,8,12,0,0,0,NA
307.0824109,15,7,16,0,0,0,NA
307.0938152,14,6,16,2,0,0,NA
307.1187128,16,6,20,0,0,0,NA
307.1551189,17,5,24,0,0,0,NA
307.19152,18,4,28,0,0,0,NA
308.0379898,9,5,15,3,2,0,NA
308.0987579,11,9,19,1,0,0,NA
308.867296,8,1,6,0,6,0,NA
308.9137221,7,4,6,2,4,0,NA
