"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-52.7828497921862,-369.479948545304,-1245.42007016549,-5.61123025348436,465.116279069768,0.368955872660076,-1,63,7,0,0,0,-45,0,-26,26,0,-0.161538461538462,0.0769230769230772,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.530494334198537,23.3211430545079,2.71346033938976,-0.2,0,0,-16.2722450389342,0,-9.59285268916197,9.59285268916197,1,7,0.269290609998633
-47.8799914242173,-383.039931393738,-1595.88009979093,-3.91300062369336,465.116279069768,0.288996196209537,-1,89,8,0,0,0,-64,0,-36,36,0,-0.125,1.025,0,-0.2,0,0,-0.400000000000002,0,-0.300000000000001,0.300000000000001,1,-0.413996196209537,26.7456614626488,2.31196956967629,-0.2,0,0,-18.8957565574104,0,-10.7038630635433,10.7038630635433,1,8,0.301935141299543
-44.0666571380192,-396.599914242173,-1946.34012941636,-20.6880025294228,465.116279069767,0.228340499085129,-1,115,9,0,0,0,-83,0,-46,46,0,-0.111111111111111,2.67777777777778,0,-0.2,0,0,-1.62222222222222,0,-0.911111111111111,0.911111111111111,1,-0.33945161019624,28.9369351725676,2.05506449176616,-0.2,0,0,-20.5744836462879,0,-11.414774069027,11.414774069027,1,9,0.327325332311362
-50.9999922038339,-509.999922038339,-1857.60010914633,0.524000389808354,467.4262450932,0.251911185393965,-1,94,10,0,0,0,-70,0,-40,40,0,-0.105,-0.23,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.356911185393965,23.4496514270327,2.56911185393965,-0.2,0,0,-17.3837829775775,0,-10.0764474157586,10.0764474157586,1,10,0.280181748547943
-55.1599932433227,-330.959959459936,-1004.76005301393,-15.4275992827528,465.116279069768,0.4475582786538,-1,49,6,0,0,0,-34,0,-20,20,0,-0.21,0.19,0.26,-0.2,0,0,0.459999999999999,0,0,0,1,-0.6575582786538,22.1203556540362,2.9453496719228,-0.2,0,0,-14.7569814742292,0,-8.951165573076,8.951165573076,1,6,0.253462958458798
-49.7519918919872,-497.519918919872,-1912.50011538326,4.32200031184664,484.169077632157,0.255420156064207,-1,100,10,0,0,0,-74,0,-42,42,0,-0.1,-0.0999999999999974,0,-0.2,0,0,0.199999999999998,0,-8.88178419700125e-16,8.88178419700125e-16,1,-0.355420156064207,25.4420156064207,2.55420156064207,-0.2,0,0,-18.7010915487513,0,-10.7276465546967,10.7276465546967,1,10,0.281357143914863
-62.9399937630671,-314.699968815336,-786.360034303131,-40.3359984407666,465.116279069768,0.540185490232142,-1,33,5,0,0,1,-22,0,-14,14,0,-0.3,-0.2,0.5,-0.2,0,0.3,0.999999999999999,0,0,0,1,-0.840185490232142,17.6261211776607,3.20092745116071,-0.2,0,0.840185490232142,-10.8840807851071,0,-7.56259686324999,7.56259686324999,1,5,0.238042673106316
-52.3866592169968,-471.479932952971,-1616.94009199476,-4.16764657270973,465.116279069768,0.285074651051792,-1,80,9,0,0,0,-59,0,-34,34,0,-0.123529411764706,-0.217647058823529,0.111764705882353,-0.2,0,0,0.311764705882352,0,0,0,1,-0.408604062816498,22.5883250253198,2.67743656534848,-0.2,0,0,-16.5076397061734,0,-9.69253813576092,9.69253813576092,1,9,0.271928551921939
-53.0799927235783,-318.47995634147,-1059.66005925086,-6.72672673408312,465.116279069768,0.432581702343059,-1,55,6,0,0,0,-38,0,-22,22,0,-0.190909090909091,0.4,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,0,1,-0.623490793252149,24.1919936288682,2.7409447595129,-0.2,0,0,-16.0926501435817,0,-9.51679745154729,9.51679745154729,1,6,0.267312153556154
-48.5039915801406,-485.039915801406,-1967.40012162019,-1.16800031184664,465.116279069768,0.235817957750176,-1,106,10,0,0,0,-78,0,-44,44,0,-0.1,0.500000000000003,0,-0.2,0,0,-0.200000000000003,0,-0.200000000000001,0.200000000000001,1,-0.335817957750176,25.4967035215187,2.35817957750176,-0.2,0,0,-18.5938007045137,0,-10.5759901410077,10.5759901410077,1,10,0.297780382770336
